,model,rank,lambda,epoch,optimizer,NDCG,R-Precision
100,IFVAE,50,0.0001,109,RMSProp,0.1644,0.0966
101,IFVAE,50,0.0001,119,RMSProp,0.1656,0.0967
102,IFVAE,50,0.0001,129,RMSProp,0.1657,0.0963
103,IFVAE,50,0.0001,139,RMSProp,0.1667,0.0968
104,IFVAE,50,0.0001,149,RMSProp,0.1669,0.097
105,IFVAE,50,0.0001,159,RMSProp,0.1676,0.0967
106,IFVAE,50,0.0001,169,RMSProp,0.1682,0.097
107,IFVAE,50,0.0001,179,RMSProp,0.1691,0.0969
108,IFVAE,50,0.0001,189,RMSProp,0.1691,0.0971
109,IFVAE,50,0.0001,199,RMSProp,0.1693,0.0971
110,IFVAE,50,0.0001,209,RMSProp,0.1697,0.0978
111,IFVAE,50,0.0001,219,RMSProp,0.1701,0.098
112,IFVAE,50,0.0001,229,RMSProp,0.17,0.0977
113,IFVAE,50,0.0001,239,RMSProp,0.1703,0.0982
114,IFVAE,50,0.0001,249,RMSProp,0.1705,0.098
115,IFVAE,50,0.0001,259,RMSProp,0.1708,0.0985
116,IFVAE,50,0.0001,269,RMSProp,0.171,0.0985
117,IFVAE,50,0.0001,279,RMSProp,0.1708,0.0983
118,IFVAE,50,0.0001,289,RMSProp,0.1708,0.0984
119,IFVAE,50,0.0001,299,RMSProp,0.1707,0.0978
120,IFVAE,50,0.0001,9,Adam,0.1348,0.0823
121,IFVAE,50,0.0001,19,Adam,0.1405,0.0856
122,IFVAE,50,0.0001,29,Adam,0.1463,0.0884
123,IFVAE,50,0.0001,39,Adam,0.1508,0.0902
124,IFVAE,50,0.0001,49,Adam,0.1538,0.0914
125,IFVAE,50,0.0001,59,Adam,0.1566,0.0921
126,IFVAE,50,0.0001,69,Adam,0.1583,0.0929
127,IFVAE,50,0.0001,79,Adam,0.1602,0.0933
128,IFVAE,50,0.0001,89,Adam,0.1611,0.0943
129,IFVAE,50,0.0001,99,Adam,0.1614,0.0941
130,IFVAE,50,0.0001,109,Adam,0.1627,0.0947
131,IFVAE,50,0.0001,119,Adam,0.1635,0.0955
