,model,rank,lambda,epoch,optimizer,NDCG,R-Precision
109,IFVAE,50,0.0001,199,RMSProp,0.1701,0.0979
110,IFVAE,50,0.0001,219,RMSProp,0.1712,0.0986
111,IFVAE,50,0.0001,239,RMSProp,0.1706,0.0985
112,IFVAE,50,0.0001,259,RMSProp,0.1714,0.0985
113,IFVAE,50,0.0001,279,RMSProp,0.1719,0.0983
114,IFVAE,50,0.0001,299,RMSProp,0.1714,0.0988
115,IFVAE,50,0.0001,319,RMSProp,0.172,0.099
116,IFVAE,50,0.0001,339,RMSProp,0.1718,0.0998
117,IFVAE,50,0.0001,359,RMSProp,0.1712,0.0988
118,IFVAE,50,0.0001,379,RMSProp,0.1714,0.0989
119,IFVAE,50,0.0001,399,RMSProp,0.1712,0.0992
120,IFVAE,50,0.0001,419,RMSProp,0.1722,0.099
121,IFVAE,50,0.0001,439,RMSProp,0.1714,0.099
122,IFVAE,50,0.0001,459,RMSProp,0.1717,0.0991
123,IFVAE,50,0.0001,479,RMSProp,0.1712,0.0997
124,IFVAE,50,0.0001,499,RMSProp,0.1714,0.0984
125,IFVAE,50,0.0001,519,RMSProp,0.1716,0.0991
126,IFVAE,50,0.0001,539,RMSProp,0.1716,0.0999
127,IFVAE,50,0.0001,559,RMSProp,0.1717,0.0987
128,IFVAE,50,0.0001,579,RMSProp,0.172,0.0988
129,IFVAE,50,0.0001,599,RMSProp,0.1721,0.0987
130,IFVAE,50,0.0001,619,RMSProp,0.1709,0.0989
131,IFVAE,50,0.0001,639,RMSProp,0.1716,0.0991
132,IFVAE,50,0.0001,659,RMSProp,0.1712,0.0991
133,IFVAE,50,0.0001,679,RMSProp,0.1721,0.0996
134,IFVAE,50,0.0001,699,RMSProp,0.1714,0.0984
135,IFVAE,50,0.0001,719,RMSProp,0.1708,0.0984
136,IFVAE,50,0.0001,739,RMSProp,0.1713,0.099
137,IFVAE,50,0.0001,759,RMSProp,0.1714,0.0992
138,IFVAE,50,0.0001,779,RMSProp,0.1712,0.099
139,IFVAE,50,0.0001,799,RMSProp,0.1711,0.0986
140,IFVAE,50,0.0001,819,RMSProp,0.1714,0.0994
141,IFVAE,50,0.0001,839,RMSProp,0.1719,0.0994
142,IFVAE,50,0.0001,859,RMSProp,0.1714,0.0981
143,IFVAE,50,0.0001,879,RMSProp,0.1716,0.0996
144,IFVAE,50,0.0001,899,RMSProp,0.1711,0.0986
145,IFVAE,50,0.0001,919,RMSProp,0.1712,0.0984
146,IFVAE,50,0.0001,939,RMSProp,0.1705,0.0987
147,IFVAE,50,0.0001,959,RMSProp,0.1706,0.0982
148,IFVAE,50,0.0001,979,RMSProp,0.1712,0.0984
149,IFVAE,50,0.0001,999,RMSProp,0.1707,0.0982
150,AutoRec,200,1e-05,19,RMSProp,0.1236,0.0748
151,AutoRec,200,1e-05,39,RMSProp,0.1327,0.0815
152,AutoRec,200,1e-05,59,RMSProp,0.1447,0.0879
153,AutoRec,200,1e-05,79,RMSProp,0.1522,0.091
154,AutoRec,200,1e-05,99,RMSProp,0.1583,0.0948
155,AutoRec,200,1e-05,119,RMSProp,0.1607,0.0953
156,AutoRec,200,1e-05,139,RMSProp,0.1619,0.0944
157,AutoRec,200,1e-05,159,RMSProp,0.1629,0.0949
158,AutoRec,200,1e-05,179,RMSProp,0.1637,0.0947
159,AutoRec,200,1e-05,199,RMSProp,0.1645,0.0946
160,AutoRec,200,1e-05,219,RMSProp,0.1655,0.0946
161,AutoRec,200,1e-05,239,RMSProp,0.1662,0.0947
162,AutoRec,200,1e-05,259,RMSProp,0.1672,0.0945
163,AutoRec,200,1e-05,279,RMSProp,0.1675,0.0942
164,AutoRec,200,1e-05,299,RMSProp,0.1676,0.0943
165,AutoRec,200,1e-05,319,RMSProp,0.1675,0.0941
166,AutoRec,200,1e-05,339,RMSProp,0.1676,0.0941
167,AutoRec,200,1e-05,359,RMSProp,0.1672,0.0942
168,AutoRec,200,1e-05,379,RMSProp,0.1671,0.0938
169,AutoRec,200,1e-05,399,RMSProp,0.1672,0.0933
170,AutoRec,200,1e-05,419,RMSProp,0.167,0.0931
171,AutoRec,200,1e-05,439,RMSProp,0.1668,0.0932
172,AutoRec,200,1e-05,459,RMSProp,0.1662,0.0921
173,AutoRec,200,1e-05,479,RMSProp,0.1657,0.0918
174,AutoRec,200,1e-05,499,RMSProp,0.1653,0.0912
175,AutoRec,200,1e-05,519,RMSProp,0.1648,0.0908
176,AutoRec,200,1e-05,539,RMSProp,0.1642,0.0901
177,AutoRec,200,1e-05,559,RMSProp,0.1637,0.0892
178,AutoRec,200,1e-05,579,RMSProp,0.1631,0.0893
179,AutoRec,200,1e-05,599,RMSProp,0.1626,0.089
180,AutoRec,200,1e-05,619,RMSProp,0.1621,0.0892
181,AutoRec,200,1e-05,639,RMSProp,0.1616,0.089
182,AutoRec,200,1e-05,659,RMSProp,0.1613,0.0892
183,AutoRec,200,1e-05,679,RMSProp,0.1605,0.0887
184,AutoRec,200,1e-05,699,RMSProp,0.1601,0.0883
185,AutoRec,200,1e-05,719,RMSProp,0.1599,0.0881
186,AutoRec,200,1e-05,739,RMSProp,0.1596,0.0879
187,AutoRec,200,1e-05,759,RMSProp,0.1593,0.0879
188,AutoRec,200,1e-05,779,RMSProp,0.1592,0.0882
189,AutoRec,200,1e-05,799,RMSProp,0.1587,0.0879
190,AutoRec,200,1e-05,819,RMSProp,0.1585,0.0876
191,AutoRec,200,1e-05,839,RMSProp,0.1581,0.0874
192,AutoRec,200,1e-05,859,RMSProp,0.1579,0.0874
193,AutoRec,200,1e-05,879,RMSProp,0.1578,0.0869
194,AutoRec,200,1e-05,899,RMSProp,0.1575,0.0869
195,AutoRec,200,1e-05,919,RMSProp,0.1573,0.0869
196,AutoRec,200,1e-05,939,RMSProp,0.157,0.0864
197,AutoRec,200,1e-05,959,RMSProp,0.1571,0.0866
198,AutoRec,200,1e-05,979,RMSProp,0.1571,0.0865
199,AutoRec,200,1e-05,999,RMSProp,0.1572,0.0863
200,CDAE,200,1e-05,19,RMSProp,0.1228,0.0753
201,CDAE,200,1e-05,39,RMSProp,0.1266,0.0767
202,CDAE,200,1e-05,59,RMSProp,0.1351,0.0823
203,CDAE,200,1e-05,79,RMSProp,0.1424,0.0873
204,CDAE,200,1e-05,99,RMSProp,0.1457,0.0883
205,CDAE,200,1e-05,119,RMSProp,0.1492,0.0906
206,CDAE,200,1e-05,139,RMSProp,0.1521,0.0919
207,CDAE,200,1e-05,159,RMSProp,0.1544,0.0931
208,CDAE,200,1e-05,179,RMSProp,0.1559,0.0937
209,CDAE,200,1e-05,199,RMSProp,0.1569,0.0941
210,CDAE,200,1e-05,219,RMSProp,0.1576,0.094
211,CDAE,200,1e-05,239,RMSProp,0.158,0.0939
212,CDAE,200,1e-05,259,RMSProp,0.1586,0.094
213,CDAE,200,1e-05,279,RMSProp,0.1587,0.0941
214,CDAE,200,1e-05,299,RMSProp,0.1589,0.0941
215,CDAE,200,1e-05,319,RMSProp,0.1589,0.0942
216,CDAE,200,1e-05,339,RMSProp,0.1593,0.0946
217,CDAE,200,1e-05,359,RMSProp,0.1594,0.0944
218,CDAE,200,1e-05,379,RMSProp,0.1596,0.0943
219,CDAE,200,1e-05,399,RMSProp,0.1598,0.0943
220,CDAE,200,1e-05,419,RMSProp,0.1602,0.0945
221,CDAE,200,1e-05,439,RMSProp,0.1605,0.0945
222,CDAE,200,1e-05,459,RMSProp,0.1608,0.0945
223,CDAE,200,1e-05,479,RMSProp,0.1611,0.0947
224,CDAE,200,1e-05,499,RMSProp,0.1611,0.0945
225,CDAE,200,1e-05,519,RMSProp,0.1615,0.0952
226,CDAE,200,1e-05,539,RMSProp,0.1617,0.0953
227,CDAE,200,1e-05,559,RMSProp,0.1618,0.0952
228,CDAE,200,1e-05,579,RMSProp,0.1619,0.0953
229,CDAE,200,1e-05,599,RMSProp,0.162,0.0951
230,CDAE,200,1e-05,619,RMSProp,0.1621,0.095
231,CDAE,200,1e-05,639,RMSProp,0.1624,0.0955
232,CDAE,200,1e-05,659,RMSProp,0.1625,0.0956
233,CDAE,200,1e-05,679,RMSProp,0.1625,0.0954
234,CDAE,200,1e-05,699,RMSProp,0.1621,0.0955
235,CDAE,200,1e-05,719,RMSProp,0.1627,0.0958
236,CDAE,200,1e-05,739,RMSProp,0.1629,0.0953
237,CDAE,200,1e-05,759,RMSProp,0.1625,0.0955
238,CDAE,200,1e-05,779,RMSProp,0.163,0.0958
239,CDAE,200,1e-05,799,RMSProp,0.1627,0.0956
240,CDAE,200,1e-05,819,RMSProp,0.1628,0.096
241,CDAE,200,1e-05,839,RMSProp,0.1629,0.0956
242,CDAE,200,1e-05,859,RMSProp,0.1626,0.0954
243,CDAE,200,1e-05,879,RMSProp,0.1626,0.0958
244,CDAE,200,1e-05,899,RMSProp,0.1628,0.0951
245,CDAE,200,1e-05,919,RMSProp,0.1631,0.0956
246,CDAE,200,1e-05,939,RMSProp,0.163,0.0957
247,CDAE,200,1e-05,959,RMSProp,0.1628,0.0954
248,CDAE,200,1e-05,979,RMSProp,0.1628,0.0957
249,CDAE,200,1e-05,999,RMSProp,0.163,0.0959
250,VAE-CF,200,1e-05,19,RMSProp,0.1424,0.0869
251,VAE-CF,200,1e-05,39,RMSProp,0.1533,0.0919
252,VAE-CF,200,1e-05,59,RMSProp,0.1548,0.0914
253,VAE-CF,200,1e-05,79,RMSProp,0.1551,0.0906
254,VAE-CF,200,1e-05,99,RMSProp,0.1562,0.0907
255,VAE-CF,200,1e-05,119,RMSProp,0.1577,0.091
256,VAE-CF,200,1e-05,139,RMSProp,0.1584,0.0911
257,VAE-CF,200,1e-05,159,RMSProp,0.1588,0.0911
258,VAE-CF,200,1e-05,179,RMSProp,0.1596,0.0914
259,VAE-CF,200,1e-05,199,RMSProp,0.1602,0.0913
260,VAE-CF,200,1e-05,219,RMSProp,0.1611,0.0909
261,VAE-CF,200,1e-05,239,RMSProp,0.1612,0.0913
262,VAE-CF,200,1e-05,259,RMSProp,0.1612,0.0911
263,VAE-CF,200,1e-05,279,RMSProp,0.1619,0.0915
264,VAE-CF,200,1e-05,299,RMSProp,0.1618,0.0914
265,VAE-CF,200,1e-05,319,RMSProp,0.1618,0.0915
266,VAE-CF,200,1e-05,339,RMSProp,0.1618,0.0915
267,VAE-CF,200,1e-05,359,RMSProp,0.162,0.0916
268,VAE-CF,200,1e-05,379,RMSProp,0.1621,0.0916
269,VAE-CF,200,1e-05,399,RMSProp,0.1625,0.0923
270,VAE-CF,200,1e-05,419,RMSProp,0.1625,0.0921
271,VAE-CF,200,1e-05,439,RMSProp,0.1627,0.0918
272,VAE-CF,200,1e-05,459,RMSProp,0.1628,0.092
273,VAE-CF,200,1e-05,479,RMSProp,0.1632,0.0922
274,VAE-CF,200,1e-05,499,RMSProp,0.163,0.092
275,VAE-CF,200,1e-05,519,RMSProp,0.1632,0.0921
276,VAE-CF,200,1e-05,539,RMSProp,0.1636,0.0925
277,VAE-CF,200,1e-05,559,RMSProp,0.1631,0.0921
278,VAE-CF,200,1e-05,579,RMSProp,0.1636,0.0925
279,VAE-CF,200,1e-05,599,RMSProp,0.1634,0.0926
280,VAE-CF,200,1e-05,619,RMSProp,0.1634,0.0928
281,VAE-CF,200,1e-05,639,RMSProp,0.1641,0.0929
282,VAE-CF,200,1e-05,659,RMSProp,0.164,0.0931
283,VAE-CF,200,1e-05,679,RMSProp,0.1643,0.0928
284,VAE-CF,200,1e-05,699,RMSProp,0.1642,0.0924
285,VAE-CF,200,1e-05,719,RMSProp,0.1645,0.0928
286,VAE-CF,200,1e-05,739,RMSProp,0.1645,0.0932
287,VAE-CF,200,1e-05,759,RMSProp,0.1646,0.0928
288,VAE-CF,200,1e-05,779,RMSProp,0.1647,0.0931
289,VAE-CF,200,1e-05,799,RMSProp,0.1645,0.0929
290,VAE-CF,200,1e-05,819,RMSProp,0.1649,0.0933
291,VAE-CF,200,1e-05,839,RMSProp,0.1644,0.0925
292,VAE-CF,200,1e-05,859,RMSProp,0.1648,0.0932
293,VAE-CF,200,1e-05,879,RMSProp,0.1651,0.0931
294,VAE-CF,200,1e-05,899,RMSProp,0.165,0.0929
295,VAE-CF,200,1e-05,919,RMSProp,0.165,0.0927
296,VAE-CF,200,1e-05,939,RMSProp,0.1651,0.093
297,VAE-CF,200,1e-05,959,RMSProp,0.1656,0.0932
298,VAE-CF,200,1e-05,979,RMSProp,0.1653,0.0929
299,VAE-CF,200,1e-05,999,RMSProp,0.1652,0.0929
300,IFVAE,50,0.0001,19,RMSProp,0.1389,0.0833
301,IFVAE,50,0.0001,39,RMSProp,0.1484,0.0882
302,IFVAE,50,0.0001,59,RMSProp,0.1557,0.0915
303,IFVAE,50,0.0001,79,RMSProp,0.16,0.0935
304,IFVAE,50,0.0001,99,RMSProp,0.1633,0.0948
305,IFVAE,50,0.0001,119,RMSProp,0.1653,0.0966
306,IFVAE,50,0.0001,139,RMSProp,0.167,0.0973
307,IFVAE,50,0.0001,159,RMSProp,0.1677,0.0967
308,IFVAE,50,0.0001,179,RMSProp,0.1692,0.0975
309,IFVAE,50,0.0001,199,RMSProp,0.1694,0.0971
310,IFVAE,50,0.0001,219,RMSProp,0.1696,0.0972
311,IFVAE,50,0.0001,239,RMSProp,0.1699,0.0967
312,IFVAE,50,0.0001,259,RMSProp,0.17,0.0976
313,IFVAE,50,0.0001,279,RMSProp,0.1702,0.0977
314,IFVAE,50,0.0001,299,RMSProp,0.1705,0.0974
315,IFVAE,50,0.0001,319,RMSProp,0.1707,0.0978
316,IFVAE,50,0.0001,339,RMSProp,0.1707,0.0978
317,IFVAE,50,0.0001,359,RMSProp,0.1715,0.0983
318,IFVAE,50,0.0001,379,RMSProp,0.1715,0.0982
319,IFVAE,50,0.0001,399,RMSProp,0.1713,0.0976
320,IFVAE,50,0.0001,419,RMSProp,0.1718,0.0984
321,IFVAE,50,0.0001,439,RMSProp,0.1713,0.0982
322,IFVAE,50,0.0001,459,RMSProp,0.172,0.0984
323,IFVAE,50,0.0001,479,RMSProp,0.1709,0.0982
324,IFVAE,50,0.0001,499,RMSProp,0.171,0.0987
325,IFVAE,50,0.0001,519,RMSProp,0.1699,0.0982
326,IFVAE,50,0.0001,539,RMSProp,0.1702,0.0979
327,IFVAE,50,0.0001,559,RMSProp,0.1713,0.098
328,IFVAE,50,0.0001,579,RMSProp,0.1711,0.0979
329,IFVAE,50,0.0001,599,RMSProp,0.1709,0.0984
330,IFVAE,50,0.0001,619,RMSProp,0.1703,0.0982
331,IFVAE,50,0.0001,639,RMSProp,0.1709,0.0984
332,IFVAE,50,0.0001,659,RMSProp,0.1699,0.098
333,IFVAE,50,0.0001,679,RMSProp,0.1706,0.0982
334,IFVAE,50,0.0001,699,RMSProp,0.1704,0.098
335,IFVAE,50,0.0001,719,RMSProp,0.1703,0.0979
336,IFVAE,50,0.0001,739,RMSProp,0.1707,0.0983
337,IFVAE,50,0.0001,759,RMSProp,0.1703,0.0977
338,IFVAE,50,0.0001,779,RMSProp,0.1701,0.0977
339,IFVAE,50,0.0001,799,RMSProp,0.1697,0.0973
340,IFVAE,50,0.0001,819,RMSProp,0.17,0.0977
341,IFVAE,50,0.0001,839,RMSProp,0.1698,0.0978
342,IFVAE,50,0.0001,859,RMSProp,0.1694,0.0975
343,IFVAE,50,0.0001,879,RMSProp,0.1694,0.097
344,IFVAE,50,0.0001,899,RMSProp,0.1696,0.0975
345,IFVAE,50,0.0001,919,RMSProp,0.1692,0.097
346,IFVAE,50,0.0001,939,RMSProp,0.1695,0.0968
347,IFVAE,50,0.0001,959,RMSProp,0.1694,0.0966
348,IFVAE,50,0.0001,979,RMSProp,0.1693,0.0968
349,IFVAE,50,0.0001,999,RMSProp,0.1694,0.097
350,AutoRec,200,1e-05,19,RMSProp,0.1236,0.0749
351,AutoRec,200,1e-05,39,RMSProp,0.132,0.0808
352,AutoRec,200,1e-05,59,RMSProp,0.1448,0.0881
353,AutoRec,200,1e-05,79,RMSProp,0.1524,0.0915
354,AutoRec,200,1e-05,99,RMSProp,0.158,0.0949
355,AutoRec,200,1e-05,119,RMSProp,0.1605,0.0951
356,AutoRec,200,1e-05,139,RMSProp,0.1618,0.0943
357,AutoRec,200,1e-05,159,RMSProp,0.1625,0.0944
358,AutoRec,200,1e-05,179,RMSProp,0.1633,0.0943
359,AutoRec,200,1e-05,199,RMSProp,0.1641,0.0947
360,AutoRec,200,1e-05,219,RMSProp,0.1651,0.0947
361,AutoRec,200,1e-05,239,RMSProp,0.1661,0.0943
362,AutoRec,200,1e-05,259,RMSProp,0.1668,0.094
363,AutoRec,200,1e-05,279,RMSProp,0.167,0.0947
364,AutoRec,200,1e-05,299,RMSProp,0.1673,0.095
365,AutoRec,200,1e-05,319,RMSProp,0.167,0.0946
366,AutoRec,200,1e-05,339,RMSProp,0.1671,0.0943
367,AutoRec,200,1e-05,359,RMSProp,0.1672,0.0941
368,AutoRec,200,1e-05,379,RMSProp,0.1666,0.0939
369,AutoRec,200,1e-05,399,RMSProp,0.1667,0.0937
370,AutoRec,200,1e-05,419,RMSProp,0.1666,0.0932
371,AutoRec,200,1e-05,439,RMSProp,0.1665,0.0932
372,AutoRec,200,1e-05,459,RMSProp,0.1661,0.0924
373,AutoRec,200,1e-05,479,RMSProp,0.1655,0.0919
374,AutoRec,200,1e-05,499,RMSProp,0.1651,0.0915
375,AutoRec,200,1e-05,519,RMSProp,0.1645,0.091
376,AutoRec,200,1e-05,539,RMSProp,0.1641,0.0904
377,AutoRec,200,1e-05,559,RMSProp,0.1636,0.0902
378,AutoRec,200,1e-05,579,RMSProp,0.163,0.0895
379,AutoRec,200,1e-05,599,RMSProp,0.1628,0.0893
380,AutoRec,200,1e-05,619,RMSProp,0.1622,0.089
381,AutoRec,200,1e-05,639,RMSProp,0.1616,0.0888
382,AutoRec,200,1e-05,659,RMSProp,0.1611,0.0885
383,AutoRec,200,1e-05,679,RMSProp,0.1607,0.0884
384,AutoRec,200,1e-05,699,RMSProp,0.1604,0.0883
385,AutoRec,200,1e-05,719,RMSProp,0.1601,0.0882
386,AutoRec,200,1e-05,739,RMSProp,0.1597,0.0885
387,AutoRec,200,1e-05,759,RMSProp,0.1591,0.0887
388,AutoRec,200,1e-05,779,RMSProp,0.159,0.0883
389,AutoRec,200,1e-05,799,RMSProp,0.1586,0.0881
390,AutoRec,200,1e-05,819,RMSProp,0.1584,0.0879
391,AutoRec,200,1e-05,839,RMSProp,0.1583,0.0877
392,AutoRec,200,1e-05,859,RMSProp,0.1582,0.0874
393,AutoRec,200,1e-05,879,RMSProp,0.158,0.0874
394,AutoRec,200,1e-05,899,RMSProp,0.1577,0.0876
395,AutoRec,200,1e-05,919,RMSProp,0.1576,0.0874
396,AutoRec,200,1e-05,939,RMSProp,0.1574,0.0875
397,AutoRec,200,1e-05,959,RMSProp,0.1574,0.0874
398,AutoRec,200,1e-05,979,RMSProp,0.1571,0.087
399,AutoRec,200,1e-05,999,RMSProp,0.157,0.0868
400,CDAE,200,1e-05,19,RMSProp,0.1228,0.0749
401,CDAE,200,1e-05,39,RMSProp,0.1265,0.0769
402,CDAE,200,1e-05,59,RMSProp,0.135,0.0824
403,CDAE,200,1e-05,79,RMSProp,0.1426,0.0872
404,CDAE,200,1e-05,99,RMSProp,0.146,0.0887
405,CDAE,200,1e-05,119,RMSProp,0.1489,0.0901
406,CDAE,200,1e-05,139,RMSProp,0.1525,0.0919
407,CDAE,200,1e-05,159,RMSProp,0.1545,0.0932
408,CDAE,200,1e-05,179,RMSProp,0.1559,0.0934
409,CDAE,200,1e-05,199,RMSProp,0.1569,0.0941
410,CDAE,200,1e-05,219,RMSProp,0.1578,0.0944
411,CDAE,200,1e-05,239,RMSProp,0.1581,0.094
412,CDAE,200,1e-05,259,RMSProp,0.1586,0.0941
413,CDAE,200,1e-05,279,RMSProp,0.1587,0.094
414,CDAE,200,1e-05,299,RMSProp,0.1589,0.0937
415,CDAE,200,1e-05,319,RMSProp,0.1591,0.0939
416,CDAE,200,1e-05,339,RMSProp,0.1593,0.0944
417,CDAE,200,1e-05,359,RMSProp,0.1594,0.0945
418,CDAE,200,1e-05,379,RMSProp,0.1595,0.0946
419,CDAE,200,1e-05,399,RMSProp,0.16,0.0947
420,CDAE,200,1e-05,419,RMSProp,0.1599,0.0947
421,CDAE,200,1e-05,439,RMSProp,0.1602,0.0945
422,CDAE,200,1e-05,459,RMSProp,0.1604,0.0945
423,CDAE,200,1e-05,479,RMSProp,0.1608,0.0948
424,CDAE,200,1e-05,499,RMSProp,0.1609,0.0948
