,model,rank,lambda,epoch,optimizer,NDCG,R-Precision
0,CDAE,200,1e-05,19,RMSProp,0.1226,0.0748
1,CDAE,200,1e-05,39,RMSProp,0.1266,0.0769
2,CDAE,200,1e-05,59,RMSProp,0.1352,0.0823
3,CDAE,200,1e-05,79,RMSProp,0.1424,0.087
4,CDAE,200,1e-05,99,RMSProp,0.146,0.0885
5,CDAE,200,1e-05,119,RMSProp,0.1491,0.0901
6,CDAE,200,1e-05,139,RMSProp,0.1526,0.0922
7,CDAE,200,1e-05,159,RMSProp,0.1546,0.0934
8,CDAE,200,1e-05,179,RMSProp,0.1559,0.0938
9,CDAE,200,1e-05,199,RMSProp,0.1572,0.0942
10,CDAE,200,1e-05,219,RMSProp,0.1576,0.0941
11,CDAE,200,1e-05,239,RMSProp,0.1582,0.0942
12,CDAE,200,1e-05,259,RMSProp,0.1584,0.0939
13,CDAE,200,1e-05,279,RMSProp,0.1585,0.0938
14,CDAE,200,1e-05,299,RMSProp,0.1586,0.0941
15,CDAE,200,1e-05,319,RMSProp,0.1589,0.094
16,CDAE,200,1e-05,339,RMSProp,0.1591,0.0942
17,CDAE,200,1e-05,359,RMSProp,0.1593,0.0945
18,CDAE,200,1e-05,379,RMSProp,0.1596,0.0946
19,CDAE,200,1e-05,399,RMSProp,0.1595,0.0944
20,CDAE,200,1e-05,419,RMSProp,0.16,0.0947
21,CDAE,200,1e-05,439,RMSProp,0.1605,0.0949
22,CDAE,200,1e-05,459,RMSProp,0.1606,0.095
23,CDAE,200,1e-05,479,RMSProp,0.1609,0.0952
24,CDAE,200,1e-05,499,RMSProp,0.1611,0.0951
25,CDAE,200,1e-05,519,RMSProp,0.1612,0.0952
26,CDAE,200,1e-05,539,RMSProp,0.1613,0.0951
27,CDAE,200,1e-05,559,RMSProp,0.1618,0.0955
28,CDAE,200,1e-05,579,RMSProp,0.1617,0.095
29,CDAE,200,1e-05,599,RMSProp,0.1621,0.0953
30,CDAE,200,1e-05,619,RMSProp,0.1621,0.0954
31,CDAE,200,1e-05,639,RMSProp,0.1621,0.0954
32,CDAE,200,1e-05,659,RMSProp,0.1626,0.0955
33,CDAE,200,1e-05,679,RMSProp,0.1623,0.0956
34,CDAE,200,1e-05,699,RMSProp,0.1623,0.0957
35,CDAE,200,1e-05,719,RMSProp,0.1627,0.0956
36,CDAE,200,1e-05,739,RMSProp,0.1621,0.0952
37,CDAE,200,1e-05,759,RMSProp,0.162,0.0952
38,CDAE,200,1e-05,779,RMSProp,0.1625,0.0957
39,CDAE,200,1e-05,799,RMSProp,0.1622,0.0953
40,CDAE,200,1e-05,819,RMSProp,0.1628,0.0955
41,CDAE,200,1e-05,839,RMSProp,0.1625,0.0956
42,CDAE,200,1e-05,859,RMSProp,0.1625,0.0957
43,CDAE,200,1e-05,879,RMSProp,0.1624,0.0954
44,CDAE,200,1e-05,899,RMSProp,0.1625,0.0956
45,CDAE,200,1e-05,919,RMSProp,0.1626,0.0956
46,CDAE,200,1e-05,939,RMSProp,0.1627,0.0955
47,CDAE,200,1e-05,959,RMSProp,0.1626,0.0953
48,CDAE,200,1e-05,979,RMSProp,0.1625,0.0959
49,CDAE,200,1e-05,999,RMSProp,0.1627,0.0956
50,VAE-CF,200,1e-05,19,RMSProp,0.1427,0.0868
51,VAE-CF,200,1e-05,39,RMSProp,0.1533,0.0922
52,VAE-CF,200,1e-05,59,RMSProp,0.1548,0.0916
53,VAE-CF,200,1e-05,79,RMSProp,0.1558,0.091
54,VAE-CF,200,1e-05,99,RMSProp,0.1568,0.0908
55,VAE-CF,200,1e-05,119,RMSProp,0.158,0.0913
56,VAE-CF,200,1e-05,139,RMSProp,0.1589,0.0914
57,VAE-CF,200,1e-05,159,RMSProp,0.1595,0.0914
58,VAE-CF,200,1e-05,179,RMSProp,0.1601,0.0915
59,VAE-CF,200,1e-05,199,RMSProp,0.1603,0.0913
60,VAE-CF,200,1e-05,219,RMSProp,0.1609,0.0906
61,VAE-CF,200,1e-05,239,RMSProp,0.1618,0.0915
62,VAE-CF,200,1e-05,259,RMSProp,0.1618,0.0917
63,VAE-CF,200,1e-05,279,RMSProp,0.1617,0.0914
64,VAE-CF,200,1e-05,299,RMSProp,0.1617,0.0914
65,VAE-CF,200,1e-05,319,RMSProp,0.1621,0.0911
66,VAE-CF,200,1e-05,339,RMSProp,0.1621,0.0913
67,VAE-CF,200,1e-05,359,RMSProp,0.1623,0.0913
68,VAE-CF,200,1e-05,379,RMSProp,0.162,0.091
69,VAE-CF,200,1e-05,399,RMSProp,0.1626,0.0916
70,VAE-CF,200,1e-05,419,RMSProp,0.1627,0.0913
71,VAE-CF,200,1e-05,439,RMSProp,0.1625,0.0913
72,VAE-CF,200,1e-05,459,RMSProp,0.1629,0.0914
73,VAE-CF,200,1e-05,479,RMSProp,0.1632,0.0919
74,VAE-CF,200,1e-05,499,RMSProp,0.1631,0.0918
75,VAE-CF,200,1e-05,519,RMSProp,0.1633,0.092
76,VAE-CF,200,1e-05,539,RMSProp,0.1635,0.0921
77,VAE-CF,200,1e-05,559,RMSProp,0.1639,0.0923
78,VAE-CF,200,1e-05,579,RMSProp,0.164,0.0925
79,VAE-CF,200,1e-05,599,RMSProp,0.1639,0.0927
80,VAE-CF,200,1e-05,619,RMSProp,0.1642,0.0926
81,VAE-CF,200,1e-05,639,RMSProp,0.1642,0.0927
82,VAE-CF,200,1e-05,659,RMSProp,0.1642,0.0929
83,VAE-CF,200,1e-05,679,RMSProp,0.1642,0.0931
84,VAE-CF,200,1e-05,699,RMSProp,0.1643,0.0932
85,VAE-CF,200,1e-05,719,RMSProp,0.1643,0.0929
86,VAE-CF,200,1e-05,739,RMSProp,0.1643,0.0928
87,VAE-CF,200,1e-05,759,RMSProp,0.1644,0.0927
88,VAE-CF,200,1e-05,779,RMSProp,0.1647,0.0936
89,VAE-CF,200,1e-05,799,RMSProp,0.1647,0.0934
90,VAE-CF,200,1e-05,819,RMSProp,0.1649,0.0933
91,VAE-CF,200,1e-05,839,RMSProp,0.1652,0.0941
92,VAE-CF,200,1e-05,859,RMSProp,0.1648,0.0933
93,VAE-CF,200,1e-05,879,RMSProp,0.1651,0.0935
94,VAE-CF,200,1e-05,899,RMSProp,0.1649,0.0931
95,VAE-CF,200,1e-05,919,RMSProp,0.1654,0.0941
96,VAE-CF,200,1e-05,939,RMSProp,0.1651,0.0935
97,VAE-CF,200,1e-05,959,RMSProp,0.1654,0.0941
98,VAE-CF,200,1e-05,979,RMSProp,0.1656,0.0939
99,VAE-CF,200,1e-05,999,RMSProp,0.1653,0.0933
100,IFVAE,50,0.0001,19,RMSProp,0.14,0.0838
101,IFVAE,50,0.0001,39,RMSProp,0.1494,0.0884
102,IFVAE,50,0.0001,59,RMSProp,0.1568,0.0913
103,IFVAE,50,0.0001,79,RMSProp,0.1612,0.0938
104,IFVAE,50,0.0001,99,RMSProp,0.1645,0.0966
105,IFVAE,50,0.0001,119,RMSProp,0.1663,0.0976
106,IFVAE,50,0.0001,139,RMSProp,0.1669,0.0979
107,IFVAE,50,0.0001,159,RMSProp,0.1691,0.098
108,IFVAE,50,0.0001,179,RMSProp,0.1692,0.0982
