model,rank,lambda,epoch,optimizer,NDCG,R-Precision
IFVAE,50,0.0001,59,RMSProp,0.1551,0.0911
IFVAE,50,0.0001,79,RMSProp,0.1608,0.0921
IFVAE,50,0.0001,99,RMSProp,0.1643,0.0945
IFVAE,50,0.0001,119,RMSProp,0.1669,0.0959
IFVAE,50,0.0001,139,RMSProp,0.1679,0.0961
IFVAE,50,0.0001,159,RMSProp,0.1688,0.0969
IFVAE,50,0.0001,179,RMSProp,0.1689,0.0969
IFVAE,50,0.0001,199,RMSProp,0.1693,0.0969
IFVAE,50,0.0001,219,RMSProp,0.1704,0.0972
IFVAE,50,0.0001,239,RMSProp,0.1701,0.0967
IFVAE,50,0.0001,259,RMSProp,0.1704,0.0965
IFVAE,50,0.0001,279,RMSProp,0.1704,0.097
IFVAE,50,0.0001,299,RMSProp,0.1699,0.0967
IFVAE,50,0.0001,319,RMSProp,0.1695,0.0957
IFVAE,50,0.0001,339,RMSProp,0.1694,0.0961
IFVAE,50,0.0001,359,RMSProp,0.169,0.0965
IFVAE,50,0.0001,379,RMSProp,0.1693,0.0964
IFVAE,50,0.0001,399,RMSProp,0.1692,0.0962
IFVAE,50,0.0001,419,RMSProp,0.1696,0.0962
IFVAE,50,0.0001,439,RMSProp,0.1694,0.0966
IFVAE,50,0.0001,459,RMSProp,0.1688,0.0968
IFVAE,50,0.0001,479,RMSProp,0.1688,0.0959
IFVAE,50,0.0001,499,RMSProp,0.1679,0.0956
IFVAE,50,0.0001,519,RMSProp,0.1681,0.0964
IFVAE,50,0.0001,539,RMSProp,0.168,0.0958
IFVAE,50,0.0001,559,RMSProp,0.1677,0.0953
IFVAE,50,0.0001,579,RMSProp,0.1686,0.0956
IFVAE,50,0.0001,599,RMSProp,0.1681,0.0963
IFVAE,50,0.0001,619,RMSProp,0.1681,0.095
IFVAE,50,0.0001,639,RMSProp,0.168,0.0955
IFVAE,50,0.0001,659,RMSProp,0.1674,0.0958
IFVAE,50,0.0001,679,RMSProp,0.1677,0.0953
IFVAE,50,0.0001,699,RMSProp,0.1675,0.0951
IFVAE,50,0.0001,719,RMSProp,0.1666,0.0945
IFVAE,50,0.0001,739,RMSProp,0.168,0.0954
IFVAE,50,0.0001,759,RMSProp,0.1682,0.096
IFVAE,50,0.0001,779,RMSProp,0.1678,0.0948
IFVAE,50,0.0001,799,RMSProp,0.1682,0.0954
IFVAE,50,0.0001,819,RMSProp,0.1673,0.0944
IFVAE,50,0.0001,839,RMSProp,0.167,0.0943
IFVAE,50,0.0001,859,RMSProp,0.1674,0.0948
IFVAE,50,0.0001,879,RMSProp,0.1675,0.095
IFVAE,50,0.0001,899,RMSProp,0.1679,0.0952
IFVAE,50,0.0001,919,RMSProp,0.1672,0.0942
IFVAE,50,0.0001,939,RMSProp,0.1674,0.0944
IFVAE,50,0.0001,959,RMSProp,0.1676,0.095
IFVAE,50,0.0001,979,RMSProp,0.1674,0.0949
IFVAE,50,0.0001,999,RMSProp,0.1675,0.0946
AutoRec,200,1e-05,19,RMSProp,0.1236,0.0749
AutoRec,200,1e-05,39,RMSProp,0.1322,0.0808
AutoRec,200,1e-05,59,RMSProp,0.145,0.0882
AutoRec,200,1e-05,79,RMSProp,0.1531,0.0919
AutoRec,200,1e-05,99,RMSProp,0.1585,0.0948
AutoRec,200,1e-05,119,RMSProp,0.1607,0.095
AutoRec,200,1e-05,139,RMSProp,0.1618,0.0944
AutoRec,200,1e-05,159,RMSProp,0.1627,0.0944
AutoRec,200,1e-05,179,RMSProp,0.1632,0.0946
AutoRec,200,1e-05,199,RMSProp,0.1642,0.0946
AutoRec,200,1e-05,219,RMSProp,0.1653,0.0949
AutoRec,200,1e-05,239,RMSProp,0.1661,0.0948
AutoRec,200,1e-05,259,RMSProp,0.1668,0.0947
AutoRec,200,1e-05,279,RMSProp,0.1671,0.0949
AutoRec,200,1e-05,299,RMSProp,0.1673,0.095
AutoRec,200,1e-05,319,RMSProp,0.1672,0.0948
