Clicks	MAP@1	NDCG	Num_Ones_In_Prediction	Num_Ones_In_Test	Num_Ones_In_Train	Num_Zeros_In_Prediction	Precision@1	R-Precision	Recall@1	active_learning_iteration	active_learning_model	rec_model	rank	alpha	lambda	iter	corruption	root	samplinge	total_num_active_learning_iteration
(3.5771543086172346, 0.080477088076449)	(0.2845691382765531, 0.016095417615289802)	(0.016630414386312735, 0.0012135623597997758)	856	284388	0	2163	(0.2845691382765531, 0.016095417615289802)	(0.004434896882538687, 0.0004029644450878689)	(0.004434896882538687, 0.0004029644450878689)	0	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	2
(3.350601604278075, 0.08385880991389495)	(0.32987967914438504, 0.016771761982778986)	(0.019723259822303586, 0.0013116402377719148)	1001	284388	856	2018	(0.32987967914438504, 0.016771761982778986)	(0.005321240191257063, 0.00044177651854381407)	(0.005321240191257063, 0.00044177651854381407)	1	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	2
