Iter Alg Sel	MAP@1	MAP@5	MAP@10	MAP@50	Precision@1	Precision@5	Precision@10	Precision@50	Recall@1	Recall@5	Recall@10	Recall@50	NDCG	R-Precision	Clicks
('Iter', 'Gr', 'All')	0.6027214536104286	0.5621850715789825	0.5203816278713923	0.36111209218308793	0.6027214536104286	0.5246266988055671	0.4526292487453794	0.24694825202093182	0.008893022916634704	0.03777519978898343	0.06428853574356792	0.1728455858672211	0.23231556947333887	0.16756040528789581	0.12712687418584082
('Iter', 'Th', 'All')	0.5969349405636178	0.5560231175652043	0.5150492606030493	0.35854074122149016	0.5969349405636178	0.5172415036263129	0.44988014854671937	0.24462604808889868	0.00881771013923038	0.03708993316680882	0.06377011212064128	0.1715081967228034	0.2307015435198192	0.16677921624948455	0.13251136791847223
('NI', 'Gr', 'All')	0.6049220518593512	0.5538105575114242	0.5108991972011788	0.34934427934509915	0.6049220518593512	0.5122803015781097	0.4435420274808601	0.2340457939118693	0.008930219765054216	0.036814948863361584	0.06285859837182353	0.1635447685886293	0.22281006306923232	0.15828408851526277	0.13509027895070316
('NI', 'Th', 'All')	0.5677052480751975	0.5131774480758959	0.4725628549082303	0.3310436375883441	0.5677052480751975	0.47020547623601017	0.4103097046208941	0.2326307037686428	0.008307848351849256	0.03359121746593488	0.05793018382823758	0.1629864636488448	0.21579080770069423	0.15742662492993936	0.16241734916030456
('Iter', 'Gr', 'Pos')	0.6587738951640466	0.6158614360269609	0.5778245757035171	0.4365349748356477	0.6587738951640466	0.577529448246957	0.519291960140048	0.32711633870927864	0.009928083311860953	0.042900559091139566	0.07623716285252934	0.23395501781256145	0.2960945176269344	0.22675301310367713	0.08210346762174817
('Iter', 'Th', 'Pos')	0.6639660936394174	0.6181785178490201	0.5803406241568103	0.43743327343150057	0.6639660936394174	0.5809810173009103	0.5206815033537474	0.3273477918916077	0.010040494533713142	0.04312381624924061	0.07649394022073928	0.23402926761832418	0.2965494643568177	0.22654883523512018	0.07893557401926309
('NI', 'Gr', 'Pos')	0.6672472127250165	0.6272367795854978	0.5898884452170764	0.43550177234745785	0.6672472127250165	0.5919958963994839	0.5293496070960573	0.3153298260257475	0.010059335612864172	0.04389843816189934	0.0777173245071797	0.22466629837158814	0.2900594805859888	0.21783108077562732	0.07650362305484289
('NI', 'Th', 'Pos')	0.6486854004556682	0.6068995000967137	0.5690914668318959	0.4203845705756702	0.6486854004556682	0.5707943795500197	0.5075044287242653	0.3090764564717332	0.009791413916275164	0.042533500143187714	0.07466584370936509	0.2211712441910869	0.28317699014681375	0.21411008405890886	0.0866567189560532
