Clicks	MAP@1	NDCG	Num_Ones_In_Prediction	Num_Ones_In_Test	Num_Ones_In_Train	Num_Zeros_In_Prediction	Precision@1	R-Precision	Recall@1	active_learning_iteration	active_learning_model	rec_model	rank	alpha	lambda	iter	corruption	root	sampling	total_num_active_learning_iteration
(2.4577674726730705, 0.08916666972550827)	(0.5084465054653858, 0.017833333945101653)	(0.035402103857042025, 0.0017105905188185698)	1535	284388	11560	1484	(0.5084465054653858, 0.017833333945101653)	(0.01019484601058436, 0.0006252217810413679)	(0.01019484601058436, 0.0006252217810413679)	87	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4577674726730705, 0.08916666972550827)	(0.5084465054653858, 0.017833333945101656)	(0.03546565973135312, 0.001715215856260064)	1535	284388	11560	1484	(0.5084465054653858, 0.017833333945101656)	(0.010228320026507235, 0.0006277791526893965)	(0.010228320026507235, 0.0006277791526893965)	88	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4527989400463728, 0.08916349904117825)	(0.5094402119907254, 0.01783269980823565)	(0.03545098762553531, 0.0017100613859861672)	1538	284388	11560	1481	(0.5094402119907254, 0.01783269980823565)	(0.010204853709255286, 0.0006248651486016036)	(0.010204853709255286, 0.0006248651486016036)	89	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.462736005299768, 0.08916948801693093)	(0.5074527989400464, 0.01783389760338619)	(0.035297140794371545, 0.0017091976070989442)	1532	284388	11560	1487	(0.5074527989400464, 0.01783389760338619)	(0.01016345190678836, 0.0006246547351678969)	(0.01016345190678836, 0.0006246547351678969)	90	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.449486584961908, 0.08916118945939415)	(0.5101026830076184, 0.017832237891878832)	(0.03552459957476, 0.001711157872316208)	1540	284388	11560	1479	(0.5101026830076184, 0.017832237891878832)	(0.010227388889368612, 0.0006254453992049998)	(0.010227388889368612, 0.0006254453992049998)	91	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.464392182842001, 0.0891703491437656)	(0.5071215634315999, 0.017834069828753123)	(0.03534732503339359, 0.0017128563917225264)	1531	284388	11560	1488	(0.5071215634315999, 0.017834069828753123)	(0.01019043571816091, 0.0006260746197197438)	(0.01019043571816091, 0.0006260746197197438)	92	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4445180523352104, 0.08915743136794053)	(0.5110963895329579, 0.017831486273588104)	(0.03558246881971602, 0.0017140727796824645)	1543	284388	11560	1476	(0.5110963895329579, 0.017831486273588104)	(0.010252035884150275, 0.0006275996888617187)	(0.010252035884150275, 0.0006275996888617187)	93	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.449486584961908, 0.08916118945939416)	(0.5101026830076184, 0.017832237891878832)	(0.035507134389443966, 0.001715267217464857)	1540	284388	11560	1479	(0.5101026830076184, 0.017832237891878832)	(0.010237468781684873, 0.0006289046221019249)	(0.010237468781684873, 0.0006289046221019249)	94	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4527989400463728, 0.08916349904117825)	(0.5094402119907254, 0.01783269980823565)	(0.03554224639379874, 0.0017139229707678163)	1538	284388	11560	1481	(0.5094402119907254, 0.01783269980823565)	(0.010242731219938492, 0.0006266435648969997)	(0.010242731219938492, 0.0006266435648969997)	95	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4511427625041406, 0.0891623638304892)	(0.5097714474991719, 0.017832472766097843)	(0.03552809198240852, 0.0017137122545339163)	1539	284388	11560	1480	(0.5097714474991719, 0.017832472766097843)	(0.010237873425395136, 0.0006269292739345408)	(0.010237873425395136, 0.0006269292739345408)	96	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.43789334216628, 0.08915187223386482)	(0.512421331566744, 0.017830374446772965)	(0.03567253253657688, 0.0017145691759432168)	1547	284388	11560	1472	(0.512421331566744, 0.017830374446772965)	(0.010276551537866744, 0.0006274045758383144)	(0.010276551537866744, 0.0006274045758383144)	97	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
