Clicks	MAP@1	NDCG	Num_Ones_In_Prediction	Num_Ones_In_Test	Num_Ones_In_Train	Num_Zeros_In_Prediction	Precision@1	R-Precision	Recall@1	active_learning_iteration	active_learning_model	rec_model	rank	alpha	lambda	iter	corruption	root	sampling	total_num_active_learning_iteration
(3.5354383607658715, 0.08117082818409815)	(0.29291232784682564, 0.01623416563681963)	(0.016800348791833994, 0.0012063529744536336)	878	284388	0	2141	(0.29291232784682564, 0.01623416563681963)	(0.004446193905643027, 0.0003967204202578159)	(0.004446193905643027, 0.0003967204202578159)	0	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.363544813695871, 0.08369031113057965)	(0.32729103726082576, 0.01673806222611593)	(0.019307694771763067, 0.0012698640941800363)	985	284388	878	2034	(0.32729103726082576, 0.01673806222611593)	(0.0051220299986020085, 0.0004084593736947533)	(0.0051220299986020085, 0.0004084593736947533)	1	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.2808310991957104, 0.08471800585013918)	(0.3438337801608579, 0.01694360117002783)	(0.020476327968231896, 0.0013350421723013095)	1038	284388	1840	1981	(0.3438337801608579, 0.01694360117002783)	(0.005537797772392032, 0.0004589918795983629)	(0.005537797772392032, 0.0004589918795983629)	2	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.1189442031406616, 0.0864030665859614)	(0.37621115937186766, 0.017280613317192283)	(0.023123133695412655, 0.0013992794931157744)	1132	284388	2814	1887	(0.37621115937186766, 0.017280613317192283)	(0.006289410893132329, 0.00047727318153839517)	(0.006289410893132329, 0.00047727318153839517)	3	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.1540260608085533, 0.08607359380908393)	(0.36919478783828935, 0.017214718761816784)	(0.022499257954060596, 0.0013898465691799568)	1111	284388	3805	1908	(0.36919478783828935, 0.017214718761816784)	(0.006126980721465094, 0.0004750237238777373)	(0.006126980721465094, 0.0004750237238777373)	4	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.0355954757152364, 0.08710877896752182)	(0.39288090485695276, 0.01742175579350437)	(0.024608924244979635, 0.0014547053013383437)	1184	284388	4684	1835	(0.39288090485695276, 0.01742175579350437)	(0.0067787414783100535, 0.000513942327653108)	(0.0067787414783100535, 0.000513942327653108)	5	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.0126708902967656, 0.08728412395873995)	(0.3974658219406469, 0.017456824791747993)	(0.024929506302701965, 0.001466963630023055)	1202	284388	5516	1817	(0.3974658219406469, 0.017456824791747993)	(0.006886003946672407, 0.0005224991340617728)	(0.006886003946672407, 0.0005224991340617728)	6	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.9727030625832223, 0.08757072843132645)	(0.4054593874833555, 0.01751414568626529)	(0.025625176477476808, 0.0015033977579369355)	1222	284388	6276	1797	(0.4054593874833555, 0.01751414568626529)	(0.00715969238770352, 0.0005376309725076845)	(0.00715969238770352, 0.0005376309725076845)	7	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.931893687707641, 0.08783852899397772)	(0.41362126245847175, 0.017567705798795543)	(0.027027681835249465, 0.0015358550244396556)	1245	284388	6970	1774	(0.41362126245847175, 0.017567705798795543)	(0.0075915891167389, 0.0005397556866869835)	(0.0075915891167389, 0.0005397556866869835)	8	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.859276468635911, 0.08825369173386194)	(0.4281447062728178, 0.017650738346772384)	(0.0276945330263628, 0.0015420793066247343)	1291	284388	7577	1728	(0.4281447062728178, 0.017650738346772384)	(0.007756633281717905, 0.0005465326604137334)	(0.007756633281717905, 0.0005465326604137334)	9	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.8163400863500496, 0.08846257239804603)	(0.43673198272999003, 0.017692514479609206)	(0.028304813848246443, 0.001554585546455254)	1318	284388	8065	1701	(0.43673198272999003, 0.017692514479609206)	(0.007937464066986715, 0.0005523810936880826)	(0.007937464066986715, 0.0005523810936880826)	10	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.705706702057067, 0.08887699079014891)	(0.45885865958858657, 0.01777539815802978)	(0.029900014397068773, 0.0015683517546565674)	1386	284388	8510	1633	(0.45885865958858657, 0.01777539815802978)	(0.008351968475173863, 0.0005543829460202492)	(0.008351968475173863, 0.0005543829460202492)	11	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.625124295657938, 0.08906762928240891)	(0.4749751408684123, 0.01781352585648178)	(0.03141892032336628, 0.0016202770100193233)	1433	284388	8884	1586	(0.4749751408684123, 0.01781352585648178)	(0.00888835877528749, 0.0005858646204151342)	(0.00888835877528749, 0.0005858646204151342)	12	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.612657388999337, 0.08908880239132977)	(0.47746852220013253, 0.017817760478265953)	(0.032061235542126254, 0.0016357788440642517)	1442	284388	9192	1577	(0.47746852220013253, 0.017817760478265953)	(0.00910070832929635, 0.0005910513438431905)	(0.00910070832929635, 0.0005910513438431905)	13	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.491716368455931, 0.08917890581553031)	(0.5016567263088137, 0.017835781163106065)	(0.03409751439704216, 0.0016714880774565764)	1514	284388	9451	1505	(0.5016567263088137, 0.017835781163106065)	(0.00972191730730218, 0.0006089768334221394)	(0.00972191730730218, 0.0006089768334221394)	14	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.531477799867462, 0.08917232599979372)	(0.4937044400265076, 0.017834465199958745)	(0.033507162144502084, 0.0016684304126071351)	1490	284388	9691	1529	(0.4937044400265076, 0.017834465199958745)	(0.009568213187798666, 0.0006061124991250289)	(0.009568213187798666, 0.0006061124991250289)	15	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4859224908910234, 0.08917798149539842)	(0.5028155018217952, 0.017835596299079687)	(0.03403859454346386, 0.0016634780964331416)	1518	284388	9877	1501	(0.5028155018217952, 0.017835596299079687)	(0.009678315185714676, 0.0006028886629188534)	(0.009678315185714676, 0.0006028886629188534)	16	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5132538104705104, 0.08917814211182275)	(0.49734923790589797, 0.01783562842236455)	(0.03421067355157068, 0.001686919249647405)	1502	284388	10039	1517	(0.49734923790589797, 0.01783562842236455)	(0.009811163064192928, 0.0006138211872239875)	(0.009811163064192928, 0.0006138211872239875)	17	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4519549370444005, 0.0891629254207287)	(0.5096090125911199, 0.01783258508414574)	(0.03487228904374338, 0.0016895722231506833)	1538	284388	10155	1481	(0.5096090125911199, 0.01783258508414574)	(0.009981681021873093, 0.0006143638987491742)	(0.009981681021873093, 0.0006143638987491742)	18	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4502652519893897, 0.08916174647842351)	(0.5099469496021221, 0.017832349295684703)	(0.0350953487934103, 0.0016937341239005377)	1538	284388	10271	1481	(0.5099469496021221, 0.017832349295684703)	(0.010053497252329615, 0.0006164400339155885)	(0.010053497252329615, 0.0006164400339155885)	19	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4296124544551176, 0.08914404187956909)	(0.5140775091089764, 0.01782880837591382)	(0.03491099148758534, 0.001668033062894697)	1552	284388	10351	1467	(0.5140775091089764, 0.01782880837591382)	(0.00991200702194095, 0.0005999801435780745)	(0.00991200702194095, 0.0005999801435780745)	20	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.446174229877443, 0.08915872322974476)	(0.5107651540245114, 0.01783174464594895)	(0.035270994149157575, 0.0017044601370553047)	1542	284388	10432	1477	(0.5107651540245114, 0.01783174464594895)	(0.010136616759389542, 0.000623428965272287)	(0.010136616759389542, 0.000623428965272287)	21	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4395495197085126, 0.08915332077402448)	(0.5120900960582975, 0.017830664154804898)	(0.0356096427962995, 0.0017115598447485217)	1546	284388	10504	1473	(0.5120900960582975, 0.017830664154804898)	(0.01025045019584712, 0.0006246127156585701)	(0.01025045019584712, 0.0006246127156585701)	22	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4080821464060946, 0.0891190976158458)	(0.518383570718781, 0.017823819523169162)	(0.036303213102002664, 0.0017325985832102758)	1565	284388	10555	1454	(0.518383570718781, 0.017823819523169162)	(0.01050267379397617, 0.000637095479544194)	(0.01050267379397617, 0.000637095479544194)	23	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.442861874792978, 0.0891561003392305)	(0.5114276250414045, 0.0178312200678461)	(0.03563462664628609, 0.0017185046755102803)	1544	284388	10592	1475	(0.5114276250414045, 0.0178312200678461)	(0.010282448856128373, 0.000629236333204781)	(0.010282448856128373, 0.000629236333204781)	24	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.441205697250745, 0.08915473014186047)	(0.511758860549851, 0.017830946028372093)	(0.0357365632797673, 0.0017136347362863298)	1545	284388	10633	1474	(0.511758860549851, 0.017830946028372093)	(0.010291424929002257, 0.000624431280502056)	(0.010291424929002257, 0.000624431280502056)	25	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.490891023517721, 0.089178803401998)	(0.5018217952964558, 0.0178357606803996)	(0.035258149202694246, 0.0017329126219813478)	1515	284388	10669	1504	(0.5018217952964558, 0.0178357606803996)	(0.010241612486872763, 0.0006431116230427282)	(0.010241612486872763, 0.0006431116230427282)	26	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.469360715468698, 0.08917269762923041)	(0.5061278569062604, 0.017834539525846085)	(0.03522716816209785, 0.001714221298029776)	1528	284388	10698	1491	(0.5061278569062604, 0.017834539525846085)	(0.01016379779346502, 0.0006292052702440517)	(0.01016379779346502, 0.0006292052702440517)	27	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4792977807220935, 0.08917633765947364)	(0.5041404438555813, 0.017835267531894728)	(0.03528171342280156, 0.0017198328715686349)	1522	284388	10721	1497	(0.5041404438555813, 0.017835267531894728)	(0.010201295771458679, 0.0006299433699952043)	(0.010201295771458679, 0.0006299433699952043)	28	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.462736005299768, 0.08916948801693093)	(0.5074527989400464, 0.01783389760338619)	(0.035506990178319965, 0.0017236187565083268)	1532	284388	10743	1487	(0.5074527989400464, 0.01783389760338619)	(0.010271190893175474, 0.0006319822214883625)	(0.010271190893175474, 0.0006319822214883625)	29	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.4925472010599536, 0.089178999092929)	(0.5014905597880093, 0.017835799818585803)	(0.034941204698739584, 0.0017087948886394379)	1514	284388	10759	1505	(0.5014905597880093, 0.017835799818585803)	(0.010075009326400434, 0.0006241495390409346)	(0.010075009326400434, 0.0006241495390409346)	30	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.499171911228884, 0.08917939047350282)	(0.5001656177542233, 0.017835878094700566)	(0.03504126235913843, 0.0017215468823870402)	1510	284388	10771	1509	(0.5001656177542233, 0.017835878094700566)	(0.010145395280283949, 0.0006360623691068216)	(0.010145395280283949, 0.0006360623691068216)	31	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.504140443855581, 0.08917927305951102)	(0.4991719112288837, 0.017835854611902208)	(0.034805895410444605, 0.0017076992414333922)	1507	284388	10783	1512	(0.4991719112288837, 0.017835854611902208)	(0.010037853238939513, 0.0006236437836201153)	(0.010037853238939513, 0.0006236437836201153)	32	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5024842663133486, 0.08917935133552272)	(0.49950314673733026, 0.017835870267104547)	(0.03478867933781962, 0.001710827011931864)	1508	284388	10795	1511	(0.49950314673733026, 0.017835870267104547)	(0.010044171561845307, 0.0006265259668114925)	(0.010044171561845307, 0.0006265259668114925)	33	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.495859556144419, 0.08917927305951102)	(0.5008280887711163, 0.017835854611902208)	(0.03520020765697182, 0.0017236915228441498)	1512	284388	10801	1507	(0.5008280887711163, 0.017835854611902208)	(0.010196759223109567, 0.0006321071619172888)	(0.010196759223109567, 0.0006321071619172888)	34	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.494203378602186, 0.08917915564536466)	(0.5011593242795628, 0.017835831129072933)	(0.034999875817977984, 0.0017176365751609397)	1513	284388	10808	1506	(0.5011593242795628, 0.017835831129072933)	(0.010121899704217199, 0.0006305885851602812)	(0.010121899704217199, 0.0006305885851602812)	35	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5140775091089766, 0.08917798149539842)	(0.4971844981782047, 0.017835596299079687)	(0.03466739934550743, 0.001711392742779432)	1501	284388	10819	1518	(0.4971844981782047, 0.017835596299079687)	(0.010017489150691564, 0.0006261733779259248)	(0.010017489150691564, 0.0006261733779259248)	36	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5074527989400464, 0.08917899909292902)	(0.49850944021199073, 0.017835799818585803)	(0.034824312694586426, 0.0017119311102382411)	1505	284388	10822	1514	(0.49850944021199073, 0.017835799818585803)	(0.010058279513171373, 0.0006263824858420694)	(0.010058279513171373, 0.0006263824858420694)	37	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.537263994700232, 0.08916948801693093)	(0.49254720105995364, 0.01783389760338619)	(0.034462721787617855, 0.0017117092225831956)	1487	284388	10827	1532	(0.49254720105995364, 0.01783389760338619)	(0.009969761833611491, 0.00062591214786142)	(0.009969761833611491, 0.00062591214786142)	38	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.530639284531302, 0.08917269762923041)	(0.49387214309373967, 0.017834539525846085)	(0.034400341241404835, 0.0017044914597170527)	1491	284388	10834	1528	(0.49387214309373967, 0.017834539525846085)	(0.00992582345038101, 0.0006228782924519923)	(0.00992582345038101, 0.0006228782924519923)	39	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5157336866512092, 0.089177629247394)	(0.4968532626697582, 0.0178355258494788)	(0.034749114099557984, 0.0017149280937218067)	1500	284388	10837	1519	(0.4968532626697582, 0.0178355258494788)	(0.010051500636823215, 0.0006278259687247593)	(0.010051500636823215, 0.0006278259687247593)	40	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5637628353759525, 0.0891503845194721)	(0.48724743292480954, 0.01783007690389442)	(0.033905170327479535, 0.0017017103021207637)	1471	284388	10841	1548	(0.48724743292480954, 0.01783007690389442)	(0.00979450454316174, 0.0006218795648419185)	(0.00979450454316174, 0.0006218795648419185)	41	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5207022192779065, 0.08917633765947364)	(0.4958595561444187, 0.017835267531894728)	(0.034503813143094315, 0.0017061347901023158)	1497	284388	10842	1522	(0.4958595561444187, 0.017835267531894728)	(0.009956933720057824, 0.0006237984369009369)	(0.009956933720057824, 0.0006237984369009369)	42	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.512421331566744, 0.08917829460356767)	(0.4975157336866512, 0.01783565892071353)	(0.034899161643768974, 0.0017287031674267886)	1502	284388	10844	1517	(0.4975157336866512, 0.01783565892071353)	(0.010136164051824737, 0.0006421678846581117)	(0.010136164051824737, 0.0006421678846581117)	43	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5422325273269295, 0.08916666972550827)	(0.4915534945346141, 0.017833333945101656)	(0.034347743917577986, 0.001710934777168434)	1484	284388	10848	1535	(0.4915534945346141, 0.017833333945101656)	(0.00993783169897008, 0.0006263385023156108)	(0.00993783169897008, 0.0006263385023156108)	44	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5289831069890694, 0.0891734021628091)	(0.49420337860218616, 0.017834680432561822)	(0.03446125399812697, 0.0017074153723277837)	1492	284388	10849	1527	(0.49420337860218616, 0.017834680432561822)	(0.009952015912951813, 0.0006242448223175746)	(0.009952015912951813, 0.0006242448223175746)	45	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.530639284531302, 0.08917269762923041)	(0.49387214309373967, 0.017834539525846085)	(0.03450997475489275, 0.001713616916802124)	1491	284388	10849	1528	(0.49387214309373967, 0.017834539525846085)	(0.00998726814053273, 0.0006280029596096228)	(0.00998726814053273, 0.0006280029596096228)	46	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5157336866512092, 0.089177629247394)	(0.4968532626697582, 0.0178355258494788)	(0.0346113219789953, 0.0017118590640364743)	1500	284388	10851	1519	(0.4968532626697582, 0.0178355258494788)	(0.010004478901074072, 0.0006273287780174924)	(0.010004478901074072, 0.0006273287780174924)	47	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5173898641934414, 0.08917723785909054)	(0.4965220271613117, 0.01783544757181811)	(0.03470859684510512, 0.0017141081592424805)	1499	284388	10852	1520	(0.4965220271613117, 0.01783544757181811)	(0.010038656401433668, 0.0006271687792967761)	(0.010038656401433668, 0.0006271687792967761)	48	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5173898641934414, 0.08917723785909054)	(0.4965220271613117, 0.01783544757181811)	(0.034624775928661235, 0.0017090238448388062)	1499	284388	10855	1520	(0.4965220271613117, 0.01783544757181811)	(0.009998102059775488, 0.0006249206249711805)	(0.009998102059775488, 0.0006249206249711805)	49	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.527326929446837, 0.08917406755052239)	(0.49453461411063265, 0.01783481351010448)	(0.03449087044612864, 0.001707616844144301)	1493	284388	10858	1526	(0.49453461411063265, 0.01783481351010448)	(0.009959881338810574, 0.0006245092683727422)	(0.009959881338810574, 0.0006245092683727422)	50	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.527326929446837, 0.08917406755052239)	(0.49453461411063265, 0.01783481351010448)	(0.0343715449189212, 0.0017046504244125798)	1493	284388	10860	1526	(0.49453461411063265, 0.01783481351010448)	(0.009918617477206782, 0.0006233245842686921)	(0.009918617477206782, 0.0006233245842686921)	51	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5240145743623716, 0.08917528089180636)	(0.4951970851275257, 0.017835056178361272)	(0.03460783300093849, 0.001711071731577764)	1495	284388	10861	1524	(0.4951970851275257, 0.017835056178361272)	(0.010002335965810528, 0.0006257516279535656)	(0.010002335965810528, 0.0006257516279535656)	52	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.530639284531302, 0.08917269762923041)	(0.49387214309373967, 0.017834539525846085)	(0.03443125504201236, 0.0017086869780155558)	1491	284388	10863	1528	(0.49387214309373967, 0.017834539525846085)	(0.009949140517857087, 0.0006253908083138921)	(0.009949140517857087, 0.0006253908083138921)	53	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5240145743623716, 0.08917528089180636)	(0.4951970851275257, 0.017835056178361272)	(0.03438233915751881, 0.0017037974340827079)	1495	284388	10864	1524	(0.4951970851275257, 0.017835056178361272)	(0.009917513590461937, 0.000623291069600082)	(0.009917513590461937, 0.000623291069600082)	54	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5140775091089766, 0.08917798149539842)	(0.4971844981782047, 0.017835596299079687)	(0.034444671053968576, 0.0017007411606346466)	1501	284388	10865	1518	(0.4971844981782047, 0.017835596299079687)	(0.009920786876578123, 0.0006216724832299137)	(0.009920786876578123, 0.0006216724832299137)	55	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.543888704869162, 0.08916565198726954)	(0.4912222590261676, 0.01783313039745391)	(0.03421960622774491, 0.001705564735845565)	1483	284388	10868	1536	(0.4912222590261676, 0.01783313039745391)	(0.009885625509128509, 0.000623804548154124)	(0.009885625509128509, 0.000623804548154124)	56	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5339516396157666, 0.08917117112071393)	(0.49320967207684663, 0.017834234224142785)	(0.03433519701954454, 0.001703337901318124)	1489	284388	10868	1530	(0.49320967207684663, 0.017834234224142785)	(0.009905508882382105, 0.0006223111831325626)	(0.009905508882382105, 0.0006223111831325626)	57	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5140775091089766, 0.08917798149539842)	(0.4971844981782047, 0.017835596299079687)	(0.03458742254770927, 0.0017041790206854864)	1501	284388	10869	1518	(0.4971844981782047, 0.017835596299079687)	(0.009970180119538046, 0.000622573222269084)	(0.009970180119538046, 0.000622573222269084)	58	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5107651540245115, 0.08917856857231395)	(0.4978469691950977, 0.017835713714462787)	(0.03483210874924344, 0.0017167242209431824)	1503	284388	10869	1516	(0.4978469691950977, 0.017835713714462787)	(0.01007837646502357, 0.000629147793691342)	(0.01007837646502357, 0.000629147793691342)	59	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5207022192779065, 0.08917633765947364)	(0.4958595561444187, 0.017835267531894728)	(0.03454494510997035, 0.0017063329317973425)	1497	284388	10872	1522	(0.4958595561444187, 0.017835267531894728)	(0.0099680589817863, 0.0006237970645908282)	(0.0099680589817863, 0.0006237970645908282)	60	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.535607817157999, 0.0891703491437656)	(0.49287843656840014, 0.017834069828753123)	(0.03424785910826251, 0.0017053718140402434)	1488	284388	10873	1531	(0.49287843656840014, 0.017834069828753123)	(0.009890754696843947, 0.0006242123102771296)	(0.009890754696843947, 0.0006242123102771296)	61	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.500828088771116, 0.08917939047350282)	(0.49983438224577675, 0.017835878094700566)	(0.034792795064200716, 0.0017110674778536726)	1509	284388	10873	1510	(0.49983438224577675, 0.017835878094700566)	(0.010045998093154236, 0.0006265190759572806)	(0.010045998093154236, 0.0006265190759572806)	62	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.525670751904604, 0.08917469379324659)	(0.49486584961907915, 0.01783493875864932)	(0.034491438338695384, 0.0017077827902681009)	1494	284388	10873	1525	(0.49486584961907915, 0.01783493875864932)	(0.009960704812002157, 0.000624395688020164)	(0.009960704812002157, 0.000624395688020164)	63	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.525670751904604, 0.08917469379324659)	(0.49486584961907915, 0.017834938758649315)	(0.03450112416222139, 0.0017064556411563443)	1494	284388	10873	1525	(0.49486584961907915, 0.017834938758649315)	(0.009957946929807329, 0.0006238954540846247)	(0.009957946929807329, 0.0006238954540846247)	64	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.527326929446837, 0.08917406755052239)	(0.49453461411063265, 0.01783481351010448)	(0.03442942038663502, 0.001708314592835726)	1493	284388	10873	1526	(0.49453461411063265, 0.01783481351010448)	(0.00994665599861306, 0.0006254776440920532)	(0.00994665599861306, 0.0006254776440920532)	65	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.512421331566744, 0.08917829460356767)	(0.4975157336866512, 0.01783565892071353)	(0.03465093765619758, 0.001707734064508571)	1502	284388	10874	1517	(0.4975157336866512, 0.01783565892071353)	(0.009999462748895226, 0.0006241390044541547)	(0.009999462748895226, 0.0006241390044541547)	66	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5240145743623716, 0.08917528089180636)	(0.4951970851275257, 0.017835056178361272)	(0.034447516634667504, 0.0017049406824527413)	1495	284388	10875	1524	(0.4951970851275257, 0.017835056178361272)	(0.009938645449573713, 0.0006232202151776536)	(0.009938645449573713, 0.0006232202151776536)	67	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.504140443855581, 0.08917927305951102)	(0.4991719112288837, 0.017835854611902208)	(0.034790761087654616, 0.0017114381922977424)	1507	284388	10875	1512	(0.4991719112288837, 0.017835854611902208)	(0.010047489247924845, 0.0006263614250207641)	(0.010047489247924845, 0.0006263614250207641)	68	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5157336866512092, 0.089177629247394)	(0.4968532626697582, 0.0178355258494788)	(0.034681899455047245, 0.0017102361243928707)	1500	284388	10875	1519	(0.4968532626697582, 0.0178355258494788)	(0.010017126340114325, 0.0006252168149488664)	(0.010017126340114325, 0.0006252168149488664)	69	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.504140443855581, 0.08917927305951102)	(0.4991719112288837, 0.017835854611902208)	(0.034782176355375, 0.00170887090992475)	1507	284388	10876	1512	(0.4991719112288837, 0.017835854611902208)	(0.010035616503486782, 0.0006251169101934522)	(0.010035616503486782, 0.0006251169101934522)	70	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.512421331566744, 0.08917829460356767)	(0.4975157336866512, 0.01783565892071353)	(0.03467116379740256, 0.001708356260773955)	1502	284388	10876	1517	(0.4975157336866512, 0.01783565892071353)	(0.010006768934509008, 0.0006246242696385395)	(0.010006768934509008, 0.0006246242696385395)	71	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.525670751904604, 0.08917469379324659)	(0.49486584961907915, 0.01783493875864932)	(0.03436262361527302, 0.0017026696635541716)	1494	284388	10876	1525	(0.49486584961907915, 0.01783493875864932)	(0.009908638871267146, 0.0006224909990224464)	(0.009908638871267146, 0.0006224909990224464)	72	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5207022192779065, 0.08917633765947364)	(0.4958595561444187, 0.017835267531894728)	(0.03458931419154525, 0.001709902347434092)	1497	284388	10876	1522	(0.4958595561444187, 0.017835267531894728)	(0.009992735017465448, 0.0006254500739353578)	(0.009992735017465448, 0.0006254500739353578)	73	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.495859556144419, 0.08917927305951102)	(0.5008280887711163, 0.017835854611902208)	(0.034834175225735856, 0.0017087796085739507)	1512	284388	10876	1507	(0.5008280887711163, 0.017835854611902208)	(0.010047438791877887, 0.0006252976983075471)	(0.010047438791877887, 0.0006252976983075471)	74	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5173898641934414, 0.08917723785909054)	(0.4965220271613117, 0.01783544757181811)	(0.034504125892471864, 0.0017050918295506519)	1499	284388	10877	1520	(0.4965220271613117, 0.01783544757181811)	(0.009952847354869315, 0.0006232439133229289)	(0.009952847354869315, 0.0006232439133229289)	75	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
