,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,VAE-CF,50,1,1e-05,300,Cosine,0.2,1.0,,"[0.154, 0.0004]","[0.0973, 0.0004]","[0.0923, 0.0003]","[0.0885, 0.0003]","[0.1048, 0.0005]","[0.0734, 0.0002]","[0.0804, 0.0003]","[0.074, 0.0004]","[0.103, 0.0005]","[0.1289, 0.0005]","[0.0415, 0.0003]","[0.2408, 0.0007]"
1,VAE-CF,50,1,0.0001,300,Cosine,0.2,1.0,,"[0.1483, 0.0004]","[0.0939, 0.0004]","[0.0901, 0.0003]","[0.0867, 0.0003]","[0.1005, 0.0005]","[0.0724, 0.0002]","[0.0775, 0.0003]","[0.0675, 0.0004]","[0.0962, 0.0005]","[0.1209, 0.0005]","[0.0369, 0.0003]","[0.2295, 0.0007]"
2,VAE-CF,50,1,0.001,300,Cosine,0.2,1.0,,"[0.1504, 0.0004]","[0.096, 0.0004]","[0.0914, 0.0003]","[0.0878, 0.0003]","[0.1035, 0.0005]","[0.0733, 0.0002]","[0.0788, 0.0003]","[0.0697, 0.0004]","[0.0978, 0.0005]","[0.1232, 0.0005]","[0.0389, 0.0003]","[0.2337, 0.0007]"
3,VAE-CF,50,1,0.01,300,Cosine,0.2,1.0,,"[0.1446, 0.0004]","[0.0939, 0.0004]","[0.0898, 0.0003]","[0.0866, 0.0003]","[0.1004, 0.0005]","[0.0729, 0.0002]","[0.0768, 0.0003]","[0.0647, 0.0004]","[0.0916, 0.0004]","[0.1156, 0.0005]","[0.0357, 0.0003]","[0.2221, 0.0006]"
4,VAE-CF,50,1,0.1,300,Cosine,0.2,1.0,,"[0.1329, 0.0004]","[0.0885, 0.0004]","[0.0856, 0.0003]","[0.0826, 0.0003]","[0.0923, 0.0005]","[0.0705, 0.0002]","[0.0706, 0.0003]","[0.0585, 0.0004]","[0.0847, 0.0004]","[0.106, 0.0005]","[0.0304, 0.0003]","[0.2048, 0.0006]"
5,VAE-CF,100,1,1e-05,300,Cosine,0.2,1.0,,"[0.16, 0.0004]","[0.0989, 0.0004]","[0.0939, 0.0003]","[0.09, 0.0003]","[0.1067, 0.0005]","[0.0743, 0.0002]","[0.0833, 0.0003]","[0.0792, 0.0004]","[0.1095, 0.0005]","[0.1365, 0.0005]","[0.045, 0.0003]","[0.2507, 0.0007]"
6,VAE-CF,100,1,0.0001,300,Cosine,0.2,1.0,,"[0.1448, 0.0004]","[0.0918, 0.0004]","[0.0877, 0.0003]","[0.0846, 0.0003]","[0.0984, 0.0005]","[0.0712, 0.0002]","[0.0752, 0.0003]","[0.0661, 0.0004]","[0.0933, 0.0004]","[0.1182, 0.0005]","[0.036, 0.0003]","[0.2264, 0.0007]"
7,VAE-CF,100,1,0.001,300,Cosine,0.2,1.0,,"[0.1548, 0.0004]","[0.0995, 0.0004]","[0.0943, 0.0003]","[0.0902, 0.0003]","[0.1078, 0.0005]","[0.0746, 0.0002]","[0.0821, 0.0003]","[0.0727, 0.0004]","[0.101, 0.0005]","[0.1266, 0.0005]","[0.0413, 0.0003]","[0.2378, 0.0007]"
8,VAE-CF,100,1,0.01,300,Cosine,0.2,1.0,,"[0.1493, 0.0004]","[0.0969, 0.0004]","[0.0926, 0.0003]","[0.089, 0.0003]","[0.1042, 0.0005]","[0.0744, 0.0002]","[0.0789, 0.0003]","[0.0673, 0.0004]","[0.0956, 0.0004]","[0.121, 0.0005]","[0.0374, 0.0003]","[0.2294, 0.0007]"
9,VAE-CF,100,1,0.1,300,Cosine,0.2,1.0,,"[0.1313, 0.0004]","[0.0873, 0.0004]","[0.0844, 0.0003]","[0.0813, 0.0003]","[0.0912, 0.0004]","[0.0695, 0.0002]","[0.0703, 0.0003]","[0.058, 0.0003]","[0.0827, 0.0004]","[0.1032, 0.0005]","[0.0305, 0.0003]","[0.2027, 0.0006]"
